Date, Open, High, Low, Close, Volume
12/30/22,166.5,173,166.5,167.5,11900
12/29/22,168,168,166,167,13000
12/28/22,165.5,167,165.5,167,51200
12/23/22,166,166.5,166,166,474400
12/22/22,168,168,166,167.25,80400
12/21/22,165.25,166,165,165.25,443200
12/20/22,165.5,166,165,165.25,323400
12/19/22,166,166.5,165.5,166,24200
12/16/22,165.5,166,165.5,166,74300
12/15/22,166,167,165.5,166,302900
12/14/22,165.5,168,165,165.75,338300
12/13/22,166.5,166.5,165.5,165.5,649900
9/12/2022,169,169,166,167,74700
8/12/2022,169,169,167,169,9600
7/12/2022,167,167,165,167,21300
6/12/2022,162.5,166,162.5,165.75,113000
5/12/2022,161,164.25,161,163,8300
2/12/2022,165,166,160,164.25,21900
1/12/2022,166,166.25,164.25,165.25,36700
11/30/22,166,168,165.25,166,816000
11/29/22,165,168,165,166.25,1169300
11/28/22,170,170,165,165.25,7500
11/25/22,165,166.5,165,165.75,14100
11/24/22,166.75,166.75,165,166,450200
11/23/22,167,167,166.5,166.75,9800
11/22/22,167,167,165,166.5,630900
11/21/22,167,167.5,166,167,69900
11/18/22,165,167,164.5,165.25,193500
11/17/22,165,165,164,164,209600
11/16/22,165,166,160.5,163,323400
11/15/22,161,165,160,161.5,84100
11/14/22,159,161,158,158.75,4400
11/11/2022,158,159,157.25,157.5,42700
10/11/2022,160,160,157,157.75,72500
9/11/2022,158,159,156,157,525500
8/11/2022,163,163,158.75,159,82600
7/11/2022,164,164,150,158.5,74800
4/11/2022,165,166,163,164.5,15600
3/11/2022,164,166,163.5,165.5,7600
2/11/2022,167.25,167.25,163,166,52700
1/11/2022,168,168,167,167.5,203400
10/31/22,168,168,167,167.25,34100
10/28/22,167.5,168,165,167.25,39200
10/27/22,169,169,167.5,167.75,6300
10/26/22,168,168,167,167.5,128500
10/25/22,169,169,165.25,167.5,157400
10/24/22,168,169,168,168.75,12200
10/21/22,168,170,168,168.75,15700
10/19/22,169.5,170,168,169.25,92300
10/18/22,171,174,167.5,169.5,404300
10/17/22,170,174,169.75,170.75,459500
10/14/22,164.5,174.75,164.5,170,370600
10/13/22,137.25,138.25,137.25,138,95500
12/10/2022,139,139,136.5,137.5,8300
11/10/2022,138.75,139,137,137.25,18200
7/10/2022,140,140,135,137,320000
6/10/2022,139,140,135,138,408400
5/10/2022,144.75,144.75,135,141,7600
4/10/2022,145,147,142,144.5,20500
3/10/2022,148,148,145,147.5,700
09/30/22,142,148,140,142,29800
09/29/22,142,142,141,142,23700
09/28/22,145,145,140.75,143.25,31800
09/27/22,143,145,140,140.75,4800
09/26/22,148,148,140,140.25,115700
09/23/22,143.5,145,141,141.25,80200
09/22/22,142,148,142,145,325700
09/21/22,143,148,142,143.75,213300
09/20/22,147.75,148,140.75,142,160600
09/19/22,142,148,139,140,534400
09/16/22,145,148,138,142,69800
09/15/22,153,153,145,150.25,29500
09/14/22,152,153,151,151.25,299700
12/9/2022,153,153,152,152,512600
9/9/2022,153.75,154,153,153,222100
8/9/2022,157,157,153.75,154,147500
7/9/2022,157,158,156,157,6600
6/9/2022,157,157,155,155.5,1000
5/9/2022,157,157,154,157,210600
2/9/2022,153.75,155.75,153,154,61200
1/9/2022,152,153,151,152,412200
08/31/22,153,153,150,151,5900
08/30/22,153,153,150,153,74600
08/29/22,153,153.5,150.5,153,185700
08/26/22,154,154,150,153,168200
08/25/22,154,154,153.75,153.75,5400
08/24/22,153,156.75,153,153.75,13800
08/23/22,154.5,156,153,153.5,90800
08/22/22,155,157,153.75,154.5,900
08/19/22,156,157,153,153.75,383300
08/18/22,152.5,159.5,152,156.75,6100
08/17/22,156.25,157,150,152.5,51600
08/16/22,156.5,157,152,156.25,57300
08/15/22,159.75,159.75,157,157,64600
12/8/2022,158,159.75,155,157.25,9300
11/8/2022,163,163,155,158,25600
10/8/2022,156,160,156,157.5,73100
8/8/2022,155,155.5,155,155.25,39700
5/8/2022,155,156,150.25,155,134300
4/8/2022,154,155,154,154.75,674300
3/8/2022,155,155,154,154.25,4100
2/8/2022,154,157,152,154.25,190000
1/8/2022,155.25,155.25,153,155,319000
07/29/22,154,157,154,155.25,186400
07/28/22,147.75,157.5,147.75,153,39100
07/27/22,140.5,145,140.5,143.25,82400
07/26/22,140.5,140.5,140.5,140.5,25400
07/25/22,143.25,143.25,143,143.25,9000
07/22/22,142,145,142,143.5,5800
07/21/22,140,143,140,140.25,147000
07/20/22,138,141,138,140,581700
07/19/22,140,140,137,138.75,1300
07/18/22,139,140,137,137.25,95800
07/15/22,140,140,138.5,139.5,12100
07/14/22,140,140,139.75,140,8700
07/13/22,140,140,139,139.75,94800
12/7/2022,139,140,139,140,12600
8/7/2022,140,140,139,140,6400
7/7/2022,140,140,138,139,11700
6/7/2022,139.25,140,137.25,138,30600
5/7/2022,141.5,141.5,139,139.25,22000
4/7/2022,140.5,141.75,137.25,139.5,12200
1/7/2022,137,140.5,135,139,1022000
06/30/22,131.25,139,131,137.25,6700
06/29/22,121,131.25,121,127,546400
06/28/22,114,121,111,119.5,569700
06/27/22,114.75,115,110,110,2854500
06/24/22,117.75,117.75,114.75,115.25,377900
06/23/22,118.75,118.75,117.75,117.75,265100
06/22/22,120,120,118,118.75,133900
06/21/22,123,124.75,118.5,120,429200
06/20/22,125,125,123,124,16000
06/17/22,125,125,124.5,124.5,84100
06/16/22,127.75,128.5,124.5,125,808800
06/15/22,130,130,127.5,128.75,18400
06/14/22,129.75,131,129.5,129.5,92400
06/13/22,133,133,130,131.25,307700
10/6/2022,133.25,137,133,133,251900
9/6/2022,138.25,139.5,135,137.5,107100
8/6/2022,140,141,138.5,140,82000
7/6/2022,140,140,140,140,20300
6/6/2022,140,140,138,139.75,5600
3/6/2022,140,140,139.5,139.75,16900
2/6/2022,141,141.5,139.5,140,17700
05/31/22,141,141.25,140.5,141,445500
05/30/22,142,142,141,141.5,144600
05/27/22,141,142,141,141,701900
05/26/22,141,142,140,141,205100
05/25/22,141,141,140.5,141,873200
05/24/22,141,142,141,141,3153500
05/23/22,140,142.75,139.25,141,758700
05/20/22,144,144,139,142.75,325100
05/19/22,140,140,140,140,31700
05/18/22,142.5,142.5,140,140,204700
05/17/22,143,143,142,142.5,17700
05/16/22,142,142.5,142,142.5,510500
05/13/22,142.5,142.5,140.5,141.5,14400
12/5/2022,140.25,142.5,140,140.25,2800
11/5/2022,145,145,140,140.5,21800
10/5/2022,140,141,140,140,350000
9/5/2022,139.25,142,139.25,139.75,548900
6/5/2022,143,143.75,139,139,1349400
