Date, Open, High, Low, Close, Volume
12/30/22,24,24.5,24,24.15,13959200
12/29/22,24.5,24.5,23.9,24,3306100
12/28/22,24.7,24.7,24.3,24.45,153100
12/23/22,24.75,24.8,24.3,24.6,624400
12/22/22,25,25,24.5,24.7,1202000
12/21/22,25,25,24.5,24.75,2791700
12/20/22,25,25,24.6,24.8,901200
12/19/22,25,25,24.8,24.9,264400
12/16/22,25,25.3,24.75,24.95,4606000
12/15/22,25.1,25.1,24.55,24.8,2925800
12/14/22,24.65,25.1,24.65,25,1645100
12/13/22,24.5,25,24.5,24.9,876500
9/12/2022,24.2,25,24.1,24.3,1258500
8/12/2022,24.5,24.5,24.05,24.1,6624500
7/12/2022,24.35,25,23.9,24.1,3595800
6/12/2022,24,24.4,23.5,23.85,2657200
5/12/2022,24.5,24.5,23,23.65,3762700
2/12/2022,24.5,24.5,24.2,24.35,5275400
1/12/2022,24.8,24.8,24.4,24.5,323600
11/30/22,24.35,24.7,24.2,24.35,3735200
11/29/22,24.7,24.8,24.25,24.45,2798100
11/28/22,24.65,25,24.45,24.7,678800
11/25/22,24.8,24.95,24.5,24.65,499100
11/24/22,24.9,25,24.4,24.85,1180300
11/23/22,25.35,25.35,24.8,25,4009000
11/22/22,25.6,25.6,24.85,25,1515000
11/21/22,25.05,25.6,25,25.35,5305700
11/18/22,25.5,25.5,25.05,25.25,12424900
11/17/22,25.5,25.5,25.05,25.25,5792100
11/16/22,25.2,25.5,25.05,25.25,20419500
11/15/22,25.4,25.45,25,25.05,8613200
11/14/22,25.35,26,24.9,25.1,2129000
11/11/2022,25.6,26,24.95,25.25,7744500
10/11/2022,25.4,26,25.3,25.5,4195400
9/11/2022,25.4,25.6,25.05,25.15,1825300
8/11/2022,25,25.5,24.95,25,5075700
7/11/2022,25,25.1,24.55,24.95,443100
4/11/2022,24.8,25,24.5,24.8,7198300
3/11/2022,24.7,25,24.5,24.8,1566400
2/11/2022,25.05,25.1,24.4,24.8,2707000
1/11/2022,25,25.1,24.95,25,12664700
10/31/22,25.5,25.5,24.8,25.1,2762400
10/28/22,25.5,25.5,24.6,24.85,5331000
10/27/22,25.4,25.5,25,25.3,184300
10/26/22,24.5,25.25,24.5,24.95,3942600
10/25/22,24.35,25,24.25,24.4,1719200
10/24/22,25.5,25.5,24.35,24.55,687200
10/21/22,25.45,25.5,24.55,24.95,2163100
10/19/22,25.5,25.5,25.25,25.45,865100
10/18/22,25.5,25.5,25.3,25.5,1322500
10/17/22,25.5,25.5,25.25,25.5,884700
10/14/22,25.95,26,25.15,25.55,555000
10/13/22,25.95,26,25.25,25.85,3895200
12/10/2022,26,26.7,25.25,26.35,12788300
11/10/2022,25.5,26.5,25.5,25.95,9481300
7/10/2022,24.5,26,24,24.75,20918000
6/10/2022,24,24.3,23.6,23.65,40335301
5/10/2022,24.35,24.45,23.65,23.7,10551300
4/10/2022,25,25,23.9,24.45,10379300
3/10/2022,24.8,24.8,24.5,24.75,591400
09/30/22,25.05,25.05,24.85,24.95,4541600
09/29/22,26,26,24.7,25.15,2863700
09/28/22,26.5,26.5,25.75,25.95,3706500
09/27/22,26.95,26.95,25.95,26.25,4702900
09/26/22,27.5,27.95,26.2,27.05,7178600
09/23/22,28,28,26.8,27.4,13487700
09/22/22,28,28,27.4,27.5,9561000
09/21/22,28,28,27.4,27.5,6238800
09/20/22,27.7,28,27.05,27.55,5351600
09/19/22,27.1,28,26.6,26.8,1335500
09/16/22,26.8,27,26.4,26.55,13486400
09/15/22,27.9,28,26.6,26.85,19525801
09/14/22,28.95,28.95,27.85,28.2,4601200
12/9/2022,29,29,28.4,28.65,13162200
9/9/2022,29.95,29.95,28.8,29.25,3144600
8/9/2022,30,30,29.7,29.9,3071200
7/9/2022,30.9,30.9,29.5,29.85,4653700
6/9/2022,30.6,31.85,30.15,31.05,7397300
5/9/2022,28,30.6,28,29.05,4281700
2/9/2022,28,29.8,27.95,28.05,7760900
1/9/2022,28.5,28.5,27.75,27.85,14308900
08/31/22,28.5,28.5,27.5,27.95,12171700
08/30/22,29,29,28.1,28.2,5198300
08/29/22,28.05,29,28,28.25,1756700
08/26/22,28.45,29,28,28.05,4559100
08/25/22,29,29,28,28.45,1614000
08/24/22,29.5,29.8,28.05,29.1,3560300
08/23/22,29.85,30,29.15,29.8,2585600
08/22/22,31.3,31.3,29.8,30.1,3324700
08/19/22,31.1,31.3,30.7,31.25,6192400
08/18/22,31,31.15,30.5,31.05,1947200
08/17/22,31,31.8,30.9,31.1,7573100
08/16/22,31.1,31.5,31,31.1,2411300
08/15/22,31,31.8,30.9,31.15,5086300
12/8/2022,31.95,31.95,30.85,31.15,1332600
11/8/2022,31.5,32.5,31.1,31.8,2415600
10/8/2022,30.5,31.1,30,30.45,2025600
8/8/2022,30.5,30.6,29.95,30,12711700
5/8/2022,30.4,30.5,30,30.1,1242900
4/8/2022,29.75,30.45,29.6,30,4305000
3/8/2022,29.6,30,29.55,29.6,6899200
2/8/2022,29.95,30.1,29.5,29.75,8482600
1/8/2022,29,30,28.8,29.15,3002100
07/29/22,30.4,30.4,29.5,29.95,1843600
07/28/22,30,30.4,29.9,30,3515200
07/27/22,29.5,29.95,29,29.55,568100
07/26/22,29.2,29.5,28.9,29,2508100
07/25/22,29.5,30,29,29.5,2313900
07/22/22,29.75,30,28.95,29,6648900
07/21/22,28.95,29.5,28.2,28.55,3783100
07/20/22,29,29,28,28.15,8901200
07/19/22,29.8,29.8,28.5,28.9,2678200
07/18/22,31,31.7,29,30,3273000
07/15/22,32.95,33,29.5,31.45,2575700
07/14/22,30.5,32.5,30.25,32.05,2795900
07/13/22,30,30.5,29.95,30,6032300
12/7/2022,29,30,28.35,29.5,9781300
8/7/2022,28,28.7,28,28.2,4897700
7/7/2022,28,28,27.8,27.95,6109800
6/7/2022,27.95,28.7,27.5,27.75,11302300
5/7/2022,27.55,28,27.2,27.6,18317400
4/7/2022,25.95,27.55,25.95,26.55,7884000
1/7/2022,25,26.45,24.9,25.05,15171700
06/30/22,25.25,26.5,24.5,24.95,8554700
06/29/22,24,25.5,23.5,24.9,1840500
06/28/22,23.3,24,23.15,23.35,4773300
06/27/22,24,24,23,23.15,4577100
06/24/22,23.6,24,23,23.1,36145199
06/23/22,23.8,23.8,23.35,23.5,502800
06/22/22,24,24,23.3,23.45,30606100
06/21/22,24.5,24.9,23.75,24,15713500
06/20/22,24.5,24.9,24.2,24.35,801800
06/17/22,25,25.5,24.1,24.3,18296801
06/16/22,25.5,25.8,24.5,25.05,4425700
06/15/22,26.4,26.7,25.45,25.7,18507900
06/14/22,26.5,27.3,26.2,26.35,5509800
06/13/22,27.4,27.4,26.4,26.5,16953301
10/6/2022,27.8,28,26.6,26.7,12130500
9/6/2022,26.95,27.9,26.55,26.6,11001700
