"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","74,773.85","74,480.29","74,838.76","74,366.97","368.60M","0.36%"
"12/28/2023","74,502.58","73,768.64","74,502.58","73,734.59","384.58M","0.99%"
"12/27/2023","73,768.64","74,034.23","74,249.15","73,762.07","432.91M","-0.34%"
"12/22/2023","74,023.27","74,288.88","74,430.47","74,018.72","423.20M","-0.36%"
"12/21/2023","74,289.02","73,397.71","74,292.76","73,397.71","760.93M","1.21%"
"12/20/2023","73,397.71","72,470.10","73,399.61","72,470.10","552.22M","1.28%"
"12/19/2023","72,470.10","72,404.91","72,489.21","72,320.32","411.06M","0.09%"
"12/18/2023","72,404.91","72,389.23","72,413.13","72,276.75","324.15M","0.02%"
"12/15/2023","72,389.23","72,458.76","72,671.03","72,368.30","307.15M","-0.09%"
"12/14/2023","72,455.83","72,299.79","72,539.04","72,299.79","446.58M","0.22%"
"12/13/2023","72,299.79","71,907.26","72,299.79","71,907.26","433.18M","0.55%"
"12/12/2023","71,907.26","71,669.91","71,907.26","71,641.05","319.41M","0.33%"
"12/11/2023","71,669.91","71,559.10","71,685.84","71,503.35","375.31M","0.18%"
"12/08/2023","71,541.74","71,458.35","71,541.74","70,741.96","503.66M","0.12%"
"12/07/2023","71,457.92","71,591.46","71,603.36","71,424.74","436.56M","-0.49%"
"12/06/2023","71,808.64","71,253.78","71,866.37","71,242.31","690.01M","0.78%"
"12/05/2023","71,250.17","70,946.83","71,250.17","70,945.55","433.57M","0.43%"
"12/04/2023","70,946.83","71,433.64","71,607.91","70,946.37","358.51M","-0.66%"
"12/01/2023","71,419.87","71,365.27","71,456.61","71,356.11","361.12M","0.08%"
"11/30/2023","71,365.25","71,284.18","71,388.13","71,270.17","540.09M","0.11%"
"11/29/2023","71,283.34","71,163.09","71,360.17","71,129.47","360.60M","0.34%"
"11/28/2023","71,041.05","71,353.82","71,438.19","71,000.10","534.62M","-0.44%"
"11/27/2023","71,353.81","71,241.96","71,566.58","70,810.51","746.64M","0.17%"
"11/24/2023","71,230.49","71,072.34","71,242.18","71,069.65","582.76M","0.25%"
"11/23/2023","71,052.85","71,009.71","71,055.28","70,990.01","563.70M","0.07%"
"11/22/2023","71,003.98","71,067.29","71,089.79","70,970.75","428.44M","-0.09%"
"11/21/2023","71,066.55","71,008.99","71,079.86","71,007.31","491.40M","0.08%"
"11/20/2023","71,008.78","71,112.99","71,122.32","70,959.16","358.45M","-0.15%"
"11/17/2023","71,112.99","71,025.59","71,169.70","71,013.70","441.58M","0.12%"
"11/16/2023","71,025.16","71,014.12","71,080.30","71,011.23","483.80M","0.02%"
"11/15/2023","71,014.34","70,840.72","71,023.15","70,836.50","297.32M","0.19%"
"11/14/2023","70,876.35","70,612.81","70,876.35","70,609.14","327.43M","0.37%"
"11/13/2023","70,612.81","70,846.27","71,131.22","70,612.81","474.39M","-0.34%"
"11/10/2023","70,854.18","70,819.49","70,873.82","70,807.93","556.70M","0.05%"
"11/09/2023","70,819.58","70,775.13","70,888.97","70,645.15","569.19M","0.07%"
"11/08/2023","70,773.38","70,613.60","70,773.38","70,613.60","558.33M","0.23%"
"11/07/2023","70,613.60","70,479.62","70,618.64","70,456.92","449.28M","0.19%"
"11/06/2023","70,479.62","70,196.93","70,519.31","70,196.93","391.01M","0.40%"
"11/03/2023","70,196.93","70,042.28","70,532.21","69,807.45","410.36M","0.22%"
"11/02/2023","70,042.28","70,582.00","70,584.69","70,005.39","525.46M","-0.76%"
"11/01/2023","70,581.76","69,243.91","70,581.76","69,222.13","601.73M","1.94%"
"10/31/2023","69,236.19","68,111.71","69,245.88","68,111.71","483.27M","1.65%"
"10/30/2023","68,111.71","67,136.58","68,111.71","67,134.14","430.39M","1.45%"
"10/27/2023","67,136.58","67,095.50","67,235.67","67,083.31","214.15M","0.08%"
"10/26/2023","67,084.95","67,193.43","67,211.19","67,067.33","267.59M","-0.18%"
"10/25/2023","67,206.16","67,217.77","67,383.60","67,206.16","329.56M","-0.02%"
"10/24/2023","67,217.77","66,876.92","67,217.77","66,876.92","319.90M","0.51%"
"10/23/2023","66,876.92","66,915.41","66,924.82","66,860.14","314.62M","-0.06%"
"10/20/2023","66,915.41","67,077.79","67,081.18","66,909.15","205.88M","-0.27%"
"10/19/2023","67,098.80","67,353.23","67,355.60","67,083.20","298.69M","-0.38%"
"10/18/2023","67,353.23","67,326.12","67,440.22","67,326.12","397.56M","0.04%"
"10/17/2023","67,326.12","67,037.93","67,326.12","67,037.21","377.97M","0.43%"
"10/16/2023","67,037.93","67,200.03","67,303.23","67,022.94","216.07M","-0.24%"
"10/13/2023","67,200.69","67,122.84","67,214.30","67,121.04","224.07M","0.10%"
"10/12/2023","67,133.19","67,100.49","67,152.93","67,100.49","309.32M","0.05%"
"10/11/2023","67,100.49","66,984.32","67,190.54","66,981.09","410.32M","0.17%"
"10/10/2023","66,984.62","67,101.39","67,118.93","66,956.31","257.42M","-0.17%"
"10/09/2023","67,101.57","66,454.57","67,123.22","66,454.57","268.65M","0.97%"
"10/06/2023","66,454.57","66,532.84","67,188.68","66,210.45","374.09M","-0.17%"
"10/05/2023","66,570.19","66,481.99","66,570.19","66,474.70","357.45M","0.13%"
"10/04/2023","66,482.28","66,770.97","66,891.05","66,449.33","657.51M","-0.43%"
"10/03/2023","66,770.97","66,382.14","66,966.66","66,382.14","364.32M","0.59%"
"09/29/2023","66,382.14","66,448.63","66,508.55","65,865.33","292.94M","-0.10%"
"09/28/2023","66,448.63","66,665.16","66,710.95","66,399.02","273.80M","-0.31%"
"09/26/2023","66,652.17","66,882.64","66,937.30","66,218.36","363.94M","-0.34%"
"09/25/2023","66,882.64","67,227.17","67,281.98","66,882.64","408.19M","-0.66%"
"09/22/2023","67,324.59","68,272.66","68,310.05","67,277.43","1.03B","-1.39%"
"09/21/2023","68,271.14","68,336.40","68,377.26","68,215.40","1.12B","-0.09%"
"09/20/2023","68,335.72","68,375.47","68,495.83","68,113.02","566.63M","-0.03%"
"09/19/2023","68,359.22","67,878.20","68,370.90","67,878.20","676.74M","0.71%"
"09/18/2023","67,877.17","67,395.74","67,877.17","67,395.74","515.28M","0.71%"
"09/15/2023","67,395.74","67,335.30","67,395.74","67,199.04","408.87M","0.07%"
"09/14/2023","67,347.73","67,419.50","67,471.13","67,243.92","788.54M","-0.10%"
"09/13/2023","67,414.40","66,780.64","67,421.40","66,780.64","569.63M","0.98%"
"09/12/2023","66,760.20","67,198.77","67,198.77","66,485.44","645.51M","-0.80%"
"09/11/2023","67,296.18","68,143.34","68,162.71","67,284.52","520.13M","-1.24%"
"09/08/2023","68,143.34","68,082.11","68,195.76","68,082.11","483.49M","0.09%"
"09/07/2023","68,082.11","68,286.28","68,316.40","67,969.08","378.09M","-0.30%"
"09/06/2023","68,286.28","68,325.27","68,347.52","67,624.46","378.65M","-0.07%"
"09/05/2023","68,334.68","68,279.50","68,457.06","68,156.50","557.80M","0.08%"
"09/04/2023","68,279.14","67,568.03","68,302.55","67,568.03","744.76M","1.11%"
"09/01/2023","67,527.19","66,548.99","67,527.19","66,120.90","503.75M","1.47%"
"08/31/2023","66,548.99","66,439.53","66,548.99","66,225.71","620.95M","0.16%"
"08/30/2023","66,439.53","66,490.34","66,649.93","66,359.67","637.19M","-0.08%"
"08/29/2023","66,490.34","66,153.23","66,554.58","66,153.23","436.95M","0.51%"
"08/28/2023","66,151.38","65,558.91","66,151.38","65,558.91","311.12M","0.90%"
"08/25/2023","65,558.91","65,401.82","65,585.28","65,401.82","356.02M","0.24%"
"08/24/2023","65,401.82","65,493.10","66,185.04","65,374.39","583.09M","-0.14%"
"08/23/2023","65,492.92","65,488.67","65,567.61","65,416.76","348.32M","0.01%"
"08/22/2023","65,488.67","65,198.74","65,672.68","65,191.01","293.46M","0.44%"
