Date,Price,Open,High,Low,Vol.,Change %,Close
12/29/2023,74773.85,74480.29,74838.76,74366.97,368.6,0.36,101293.1944
12/28/2023,74502.58,73768.64,74502.58,73734.59,384.58,0.99,146799.5936
12/27/2023,73768.64,74034.23,74249.15,73762.07,432.91,-0.34,48862.5918
12/22/2023,74023.27,74288.88,74430.47,74018.72,423.2,-0.36,47544.8832
12/21/2023,74289.02,73397.71,74292.76,73397.71,760.93,1.21,162208.9391
12/20/2023,73397.71,72470.1,73399.61,72470.1,552.22,1.28,165231.828
12/19/2023,72470.1,72404.91,72489.21,72320.32,411.06,0.09,78921.3519
12/18/2023,72404.91,72389.23,72413.13,72276.75,324.15,0.02,73837.0146
12/15/2023,72389.23,72458.76,72671.03,72368.3,307.15,-0.09,65937.4716
12/14/2023,72455.83,72299.79,72539.04,72299.79,446.58,0.22,88205.7438
12/13/2023,72299.79,71907.26,72299.79,71907.26,433.18,0.55,111456.253
12/12/2023,71907.26,71669.91,71907.26,71641.05,319.41,0.33,95320.9803
12/11/2023,71669.91,71559.1,71685.84,71503.35,375.31,0.18,84439.738
12/08/2023,71541.74,71458.35,71541.74,70741.96,503.66,0.12,80033.352
12/07/2023,71457.92,71591.46,71603.36,71424.74,436.56,-0.49,36511.6446
12/06/2023,71808.64,71253.78,71866.37,71242.31,690.01,0.78,126831.7284
12/05/2023,71250.17,70946.83,71250.17,70945.55,433.57,0.43,101453.9669
12/04/2023,70946.83,71433.64,71607.91,70946.37,358.51,-0.66,24287.4376
12/01/2023,71419.87,71365.27,71456.61,71356.11,361.12,0.08,77074.4916
11/30/2023,71365.25,71284.18,71388.13,71270.17,540.09,0.11,79125.4398
11/29/2023,71283.34,71163.09,71360.17,71129.47,360.6,0.34,95358.5406
11/28/2023,71041.05,71353.82,71438.19,71000.1,534.62,-0.44,39958.1392
11/27/2023,71353.81,71241.96,71566.58,70810.51,746.64,0.17,83353.0932
11/24/2023,71230.49,71072.34,71242.18,71069.65,582.76,0.25,88840.425
11/23/2023,71052.85,71009.71,71055.28,70990.01,563.7,0.07,75980.3897
11/22/2023,71003.98,71067.29,71089.79,70970.75,428.44,-0.09,64671.2339
11/21/2023,71066.55,71008.99,71079.86,71007.31,491.4,0.08,76689.7092
11/20/2023,71008.78,71112.99,71122.32,70959.16,358.45,-0.15,60446.0415
11/17/2023,71112.99,71025.59,71169.7,71013.7,441.58,0.12,79548.6608
11/16/2023,71025.16,71014.12,71080.3,71011.23,483.8,0.02,72434.4024
11/15/2023,71014.34,70840.72,71023.15,70836.5,297.32,0.19,84300.4568
11/14/2023,70876.35,70612.81,70876.35,70609.14,327.43,0.37,96739.5497
11/13/2023,70612.81,70846.27,71131.22,70612.81,474.39,-0.34,46758.5382
11/10/2023,70854.18,70819.49,70873.82,70807.93,556.7,0.05,74360.4645
11/09/2023,70819.58,70775.13,70888.97,70645.15,569.19,0.07,75729.3891
11/08/2023,70773.38,70613.6,70773.38,70613.6,558.33,0.23,86854.728
11/07/2023,70613.6,70479.62,70618.64,70456.92,449.28,0.19,83870.7478
11/06/2023,70479.62,70196.93,70519.31,70196.93,391.01,0.4,98275.702
11/03/2023,70196.93,70042.28,70532.21,69807.45,410.36,0.22,85451.5816
11/02/2023,70042.28,70582,70584.69,70005.39,525.46,-0.76,16939.68
11/01/2023,70581.76,69243.91,70581.76,69222.13,601.73,1.94,203577.0954
10/31/2023,69236.19,68111.71,69245.88,68111.71,483.27,1.65,180496.0315
10/30/2023,68111.71,67136.58,68111.71,67134.14,430.39,1.45,164484.621
10/27/2023,67136.58,67095.5,67235.67,67083.31,214.15,0.08,72463.14
10/26/2023,67084.95,67193.43,67211.19,67067.33,267.59,-0.18,55098.6126
10/25/2023,67206.16,67217.77,67383.6,67206.16,329.56,-0.02,65873.4146
10/24/2023,67217.77,66876.92,67217.77,66876.92,319.9,0.51,100984.1492
10/23/2023,66876.92,66915.41,66924.82,66860.14,314.62,-0.06,62900.4854
10/20/2023,66915.41,67077.79,67081.18,66909.15,205.88,-0.27,48966.7867
10/19/2023,67098.8,67353.23,67355.6,67083.2,298.69,-0.38,41759.0026
10/18/2023,67353.23,67326.12,67440.22,67326.12,397.56,0.04,70019.1648
10/17/2023,67326.12,67037.93,67326.12,67037.21,377.97,0.43,95864.2399
10/16/2023,67037.93,67200.03,67303.23,67022.94,216.07,-0.24,51072.0228
10/13/2023,67200.69,67122.84,67214.3,67121.04,224.07,0.1,73835.124
10/12/2023,67133.19,67100.49,67152.93,67100.49,309.32,0.05,70455.5145
10/11/2023,67100.49,66984.32,67190.54,66981.09,410.32,0.17,78371.6544
10/10/2023,66984.62,67101.39,67118.93,66956.31,257.42,-0.17,55694.1537
10/09/2023,67101.57,66454.57,67123.22,66454.57,268.65,0.97,130915.5029
10/06/2023,66454.57,66532.84,67188.68,66210.45,374.09,-0.17,55222.2572
10/05/2023,66570.19,66481.99,66570.19,66474.7,357.45,0.13,75124.6487
